"PRP","MYCT","MMIN","MMAX","CACH","CHMIN","CHMAX"
33,320,256,6000,0,1,6
62,92,2000,8000,32,1,6
13,1100,768,2000,0,1,1
58,105,2000,8000,16,4,14
34,225,2000,4000,8,3,6
27,320,256,3000,4,1,3
141,140,2000,32000,32,1,54
26,50,1000,4000,8,3,5
35,140,2000,4000,8,1,20
72,133,1000,8000,9,3,12
248,26,8000,32000,64,12,16
66,140,2000,8000,32,1,54
510,38,16000,32000,128,16,32
368,25,1310,2620,131,12,24
212,38,4000,16000,128,16,32
36,50,1000,8000,8,3,5
208,64,5240,20970,30,12,24
32,50,2620,10480,30,12,24
11,900,512,1000,0,1,2
50,115,2000,8000,16,1,3
51,38,4000,8000,32,16,32
