id,height,year
1,140.5,1
1,143.4,2
1,144.8,3
1,147.1,4
1,147.7,5
1,150.2,6
1,151.7,7
1,153.3,8
1,155.8,9
2,136.9,1
2,139.1,2
2,140.1,3
2,142.6,4
2,143.2,5
2,144,6
2,145.8,7
2,146.8,8
2,148.3,9
3,150,1
3,152.1,2
3,153.9,3
3,155.8,4
3,156,5
3,156.9,6
3,157.4,7
3,159.1,8
3,160.6,9
4,155.7,1
4,158.7,2
4,160.6,3
4,163.3,4
4,164.4,5
4,167.3,6
4,170.7,7
4,172,8
4,174.8,9
5,145.8,1
5,147.3,2
5,148.7,3
5,149.78,4
5,150.22,5
5,152.5,6
5,154.8,7
5,156.4,8
5,158.7,9
6,142.4,1
6,143.8,2
6,145.2,3
6,146.3,4
6,147.1,5
6,148.1,6
6,148.9,7
6,149.1,8
6,151,9
7,141.3,1
7,142.4,2
7,144.3,3
7,145.2,4
7,146.1,5
7,146.8,6
7,147.9,7
7,150.5,8
7,151.8,9
8,141.7,1
8,143.7,2
8,145.1,3
8,147.9,4
8,148.1,5
8,149.6,6
8,150.99,7
8,154.1,8
8,154.9,9
9,132.7,1
9,134.1,2
9,135.3,3
9,136.6,4
9,137.5,5
9,139.1,6
9,140.9,7
9,143.7,8
9,144.7,9
10,126.2,1
10,128.2,2
10,129,3
10,129.4,4
10,129.59,5
10,130.6,6
10,132.5,7
10,133.4,8
10,134.2,9
11,142.5,1
11,143.8,2
11,145.6,3
11,148.3,4
11,149.4,5
11,151.6,6
11,154.8,7
11,156.9,8
11,159.2,9
12,149.9,1
12,151.7,2
12,153.3,3
12,156.1,4
12,156.7,5
12,157.8,6
12,160.7,7
12,162.7,8
12,163.8,9
13,148.9,1
13,149.8,2
13,151.7,3
13,154.4,4
13,155.5,5
13,156.4,6
13,161.4,7
13,163.9,8
13,164.6,9
14,151.6,1
14,153.2,2
14,155.2,3
14,157.3,4
14,159.1,5
14,160.9,6
14,164.4,7
14,166.9,8
14,168.4,9
15,137.5,1
15,139.3,2
15,140.9,3
15,142.7,4
15,144.2,5
15,145.7,6
15,147.09,7
15,150.2,8
15,152.3,9
16,142.8,1
16,144.9,2
16,145,3
16,146.7,4
16,147.2,5
16,148.9,6
16,150.1,7
16,151,8
16,152.2,9
17,134.9,1
17,137.4,2
17,138.2,3
17,140.2,4
17,143.6,5
17,144.2,6
17,147.9,7
17,150.3,8
17,151.8,9
18,145.5,1
18,146.2,2
18,148.2,3
18,150.3,4
18,152,5
18,152.3,6
18,154.3,7
18,156.2,8
18,156.8,9
19,156.9,1
19,157.9,2
19,160.3,3
19,161.9,4
19,163.8,5
19,165.5,6
19,169.9,7
19,172.4,8
19,174.4,9
20,146.5,1
20,148.4,2
20,149.3,3
20,151.2,4
20,152.1,5
20,152.4,6
20,153.9,7
20,154.9,8
20,155.4,9
21,143.9,1
21,145.1,2
21,147,3
21,149.2,4
21,149.8,5
21,151.5,6
21,153.17,7
21,156.9,8
21,159.6,9
22,147.4,1
22,148.8,2
22,150.1,3
22,152.5,4
22,154.7,5
22,156,6
22,158.4,7
22,161.5,8
22,163.3,9
23,144.5,1
23,146,2
23,147.4,3
23,149.2,4
23,150.8,5
23,152.5,6
23,155,7
23,156.8,8
23,158.8,9
24,147.8,1
24,148.2,2
24,150.2,3
24,151,4
24,152.2,5
24,153.6,6
24,155.8,7
24,159.2,8
24,161.6,9
25,135.5,1
25,136.6,2
25,137.3,3
25,138.2,4
25,139,5
25,139.5,6
25,141,7
25,142.7,8
25,143.9,9
26,132.2,1
26,134.3,2
26,135.1,3
26,136.7,4
26,138.4,5
26,138.9,6
26,141.8,7
26,142.6,8
26,143.1,9
